código,nome do território,ano,concelhos apurados,concelhos por apurar,total de concelhos,freguesias apuradas,freguesias por apurar,total de freguesias,consulados apurados,consulados por apurar,total de consulados,inscritos,votos,% votos,brancos,% brancos,nulos,% nulos,mandatos,mandatos por atribuir,opção 1,votos 1,% votos1,mandatos 1,opção 2,votos 2,% votos2,mandatos 2,opção 3,votos 3,% votos3,mandatos 3,opção 4,votos 4,% votos4,mandatos 4,opção 5,votos 5,% votos5,mandatos 5,opção 6,votos 6,% votos6,mandatos 6,opção 7,votos 7,% votos7,mandatos 7,opção 8,votos 8,% votos8,mandatos 8,opção 9,votos 9,% votos9,mandatos 9,opção 10,votos 10,% votos10,mandatos 10,opção 11,votos 11,% votos11,mandatos 11,opção 12,votos 12,% votos12,mandatos 12,opção 13,votos 13,% votos13,mandatos 13,opção 14,votos 14,% votos14,mandatos 14,opção 15,votos 15,% votos15,mandatos 15,opção 16,votos 16,% votos16,mandatos 16,opção 17,votos 17,% votos17,mandatos 17,opção 18,votos 18,% votos18,mandatos 18,opção 19,votos 19,% votos19,mandatos 19,opção 20,votos 20,% votos20,mandatos 20
21008,Sobral da Adiça,2024,,,,1,0,1,,,,751,433,57.66,7,1.62,5,1.15,,,ADN,2,0.46,,B.E.,11,2.54,,CH,132,30.48,,E,1,0.23,,IL,2,0.46,,,,,,L,2,0.46,,,,,,,,,,ND,1,0.23,,PAN,3,0.69,,PCP-PEV,67,15.47,,PCTP/MRPP,2,0.46,,,,,,PPD/PSD.CDS-PP.PPM,39,9.01,,,,,,PS,158,36.49,,,,,,R.I.R.,1,0.23,,VP,0,0,
21009,Santo Agostinho e São João Baptista e Santo Amador,2024,,,,1,0,1,,,,7137,4313,60.43,61,1.41,39,0.9,,,ADN,39,0.9,,B.E.,126,2.92,,CH,1192,27.64,,E,5,0.12,,IL,86,1.99,,,,,,L,58,1.34,,,,,,,,,,ND,5,0.12,,PAN,38,0.88,,PCP-PEV,487,11.29,,PCTP/MRPP,29,0.67,,,,,,PPD/PSD.CDS-PP.PPM,706,16.37,,,,,,PS,1436,33.29,,,,,,R.I.R.,3,0.07,,VP,3,0.07,
21010,Safara e Santo Aleixo da Restauração,2024,,,,1,0,1,,,,1350,810,60,7,0.86,7,0.86,,,ADN,7,0.86,,B.E.,19,2.35,,CH,272,33.58,,E,1,0.12,,IL,4,0.49,,,,,,L,3,0.37,,,,,,,,,,ND,2,0.25,,PAN,4,0.49,,PCP-PEV,121,14.94,,PCTP/MRPP,11,1.36,,,,,,PPD/PSD.CDS-PP.PPM,76,9.38,,,,,,PS,274,33.83,,,,,,R.I.R.,1,0.12,,VP,1,0.12,
21102,Relíquias,2024,,,,1,0,1,,,,656,386,58.84,6,1.55,9,2.33,,,ADN,7,1.81,,B.E.,24,6.22,,CH,53,13.73,,E,1,0.26,,IL,6,1.55,,,,,,L,4,1.04,,,,,,,,,,ND,1,0.26,,PAN,7,1.81,,PCP-PEV,54,13.99,,PCTP/MRPP,11,2.85,,,,,,PPD/PSD.CDS-PP.PPM,51,13.21,,,,,,PS,150,38.86,,,,,,R.I.R.,1,0.26,,VP,1,0.26,
21103,Sabóia,2024,,,,1,0,1,,,,723,457,63.21,5,1.09,7,1.53,,,ADN,9,1.97,,B.E.,27,5.91,,CH,90,19.69,,E,0,0,,IL,5,1.09,,,,,,L,10,2.19,,,,,,,,,,ND,1,0.22,,PAN,3,0.66,,PCP-PEV,26,5.69,,PCTP/MRPP,8,1.75,,,,,,PPD/PSD.CDS-PP.PPM,80,17.51,,,,,,PS,184,40.26,,,,,,R.I.R.,1,0.22,,VP,1,0.22,
21106,São Luís,2024,,,,1,0,1,,,,1529,1017,66.51,13,1.28,17,1.67,,,ADN,7,0.69,,B.E.,73,7.18,,CH,181,17.8,,E,3,0.29,,IL,21,2.06,,,,,,L,23,2.26,,,,,,,,,,ND,1,0.1,,PAN,10,0.98,,PCP-PEV,154,15.14,,PCTP/MRPP,14,1.38,,,,,,PPD/PSD.CDS-PP.PPM,175,17.21,,,,,,PS,317,31.17,,,,,,R.I.R.,5,0.49,,VP,3,0.29,
21107,São Martinho das Amoreiras,2024,,,,1,0,1,,,,636,392,61.64,9,2.3,3,0.77,,,ADN,3,0.77,,B.E.,28,7.14,,CH,56,14.29,,E,0,0,,IL,9,2.3,,,,,,L,2,0.51,,,,,,,,,,ND,0,0,,PAN,3,0.77,,PCP-PEV,24,6.12,,PCTP/MRPP,5,1.28,,,,,,PPD/PSD.CDS-PP.PPM,70,17.86,,,,,,PS,180,45.92,,,,,,R.I.R.,0,0,,VP,0,0,
21111,Vila Nova de Milfontes,2024,,,,1,0,1,,,,4365,2759,63.21,58,2.1,36,1.3,,,ADN,40,1.45,,B.E.,171,6.2,,CH,776,28.13,,E,9,0.33,,IL,117,4.24,,,,,,L,85,3.08,,,,,,,,,,ND,7,0.25,,PAN,62,2.25,,PCP-PEV,184,6.67,,PCTP/MRPP,14,0.51,,,,,,PPD/PSD.CDS-PP.PPM,534,19.35,,,,,,PS,641,23.23,,,,,,R.I.R.,17,0.62,,VP,8,0.29,
21115,Luzianes-Gare,2024,,,,1,0,1,,,,252,150,59.52,4,2.67,2,1.33,,,ADN,3,2,,B.E.,5,3.33,,CH,12,8,,E,0,0,,IL,0,0,,,,,,L,1,0.67,,,,,,,,,,ND,0,0,,PAN,1,0.67,,PCP-PEV,50,33.33,,PCTP/MRPP,3,2,,,,,,PPD/PSD.CDS-PP.PPM,15,10,,,,,,PS,53,35.33,,,,,,R.I.R.,0,0,,VP,1,0.67,
21116,Boavista dos Pinheiros,2024,,,,1,0,1,,,,1346,952,70.73,23,2.42,9,0.95,,,ADN,15,1.58,,B.E.,72,7.56,,CH,222,23.32,,E,2,0.21,,IL,49,5.15,,,,,,L,29,3.05,,,,,,,,,,ND,1,0.11,,PAN,14,1.47,,PCP-PEV,88,9.24,,PCTP/MRPP,11,1.16,,,,,,PPD/PSD.CDS-PP.PPM,116,12.18,,,,,,PS,296,31.09,,,,,,R.I.R.,3,0.32,,VP,2,0.21,
21117,Longueira/Almograve,2024,,,,1,0,1,,,,1045,645,61.72,23,3.57,11,1.71,,,ADN,15,2.33,,B.E.,32,4.96,,CH,182,28.22,,E,1,0.16,,IL,20,3.1,,,,,,L,15,2.33,,,,,,,,,,ND,5,0.78,,PAN,7,1.09,,PCP-PEV,39,6.05,,PCTP/MRPP,4,0.62,,,,,,PPD/PSD.CDS-PP.PPM,140,21.71,,,,,,PS,149,23.1,,,,,,R.I.R.,2,0.31,,VP,0,0,
21118,Colos,2024,,,,1,0,1,,,,773,489,63.26,21,4.29,11,2.25,,,ADN,3,0.61,,B.E.,35,7.16,,CH,90,18.4,,E,1,0.2,,IL,16,3.27,,,,,,L,6,1.23,,,,,,,,,,ND,0,0,,PAN,4,0.82,,PCP-PEV,61,12.47,,PCTP/MRPP,7,1.43,,,,,,PPD/PSD.CDS-PP.PPM,67,13.7,,,,,,PS,165,33.74,,,,,,R.I.R.,2,0.41,,VP,0,0,
21119,Santa Clara-a-Velha,2024,,,,1,0,1,,,,520,353,67.88,7,1.98,11,3.12,,,ADN,2,0.57,,B.E.,7,1.98,,CH,63,17.85,,E,0,0,,IL,8,2.27,,,,,,L,9,2.55,,,,,,,,,,ND,1,0.28,,PAN,2,0.57,,PCP-PEV,22,6.23,,PCTP/MRPP,3,0.85,,,,,,PPD/PSD.CDS-PP.PPM,62,17.56,,,,,,PS,153,43.34,,,,,,R.I.R.,1,0.28,,VP,2,0.57,
21120,São Salvador e Santa Maria,2024,,,,1,0,1,,,,2440,1646,67.46,30,1.82,18,1.09,,,ADN,14,0.85,,B.E.,76,4.62,,CH,280,17.01,,E,2,0.12,,IL,52,3.16,,,,,,L,80,4.86,,,,,,,,,,ND,4,0.24,,PAN,25,1.52,,PCP-PEV,224,13.61,,PCTP/MRPP,9,0.55,,,,,,PPD/PSD.CDS-PP.PPM,308,18.71,,,,,,PS,516,31.35,,,,,,R.I.R.,5,0.3,,VP,3,0.18,
21121,São Teotónio,2024,,,,1,0,1,,,,4536,2879,63.47,45,1.56,36,1.25,,,ADN,47,1.63,,B.E.,181,6.29,,CH,650,22.58,,E,8,0.28,,IL,99,3.44,,,,,,L,82,2.85,,,,,,,,,,ND,4,0.14,,PAN,56,1.95,,PCP-PEV,244,8.48,,PCTP/MRPP,27,0.94,,,,,,PPD/PSD.CDS-PP.PPM,492,17.09,,,,,,PS,886,30.77,,,,,,R.I.R.,17,0.59,,VP,5,0.17,
21122,Vale de Santiago,2024,,,,1,0,1,,,,742,518,69.81,4,0.77,10,1.93,,,ADN,14,2.7,,B.E.,21,4.05,,CH,118,22.78,,E,2,0.39,,IL,12,2.32,,,,,,L,4,0.77,,,,,,,,,,ND,0,0,,PAN,9,1.74,,PCP-PEV,76,14.67,,PCTP/MRPP,7,1.35,,,,,,PPD/PSD.CDS-PP.PPM,83,16.02,,,,,,PS,154,29.73,,,,,,R.I.R.,4,0.77,,VP,0,0,
21203,Ourique,2024,,,,1,0,1,,,,2348,1668,71.04,21,1.26,18,1.08,,,ADN,35,2.1,,B.E.,55,3.3,,CH,261,15.65,,E,0,0,,IL,30,1.8,,,,,,L,27,1.62,,,,,,,,,,ND,4,0.24,,PAN,20,1.2,,PCP-PEV,98,5.88,,PCTP/MRPP,7,0.42,,,,,,PPD/PSD.CDS-PP.PPM,527,31.59,,,,,,PS,561,33.63,,,,,,R.I.R.,2,0.12,,VP,2,0.12,
21206,Santana da Serra,2024,,,,1,0,1,,,,586,355,60.58,7,1.97,5,1.41,,,ADN,16,4.51,,B.E.,5,1.41,,CH,57,16.06,,E,1,0.28,,IL,5,1.41,,,,,,L,0,0,,,,,,,,,,ND,2,0.56,,PAN,4,1.13,,PCP-PEV,8,2.25,,PCTP/MRPP,2,0.56,,,,,,PPD/PSD.CDS-PP.PPM,126,35.49,,,,,,PS,116,32.68,,,,,,R.I.R.,0,0,,VP,1,0.28,
21207,Garvão e Santa Luzia,2024,,,,1,0,1,,,,776,523,67.4,6,1.15,13,2.49,,,ADN,10,1.91,,B.E.,20,3.82,,CH,73,13.96,,E,1,0.19,,IL,5,0.96,,,,,,L,4,0.76,,,,,,,,,,ND,1,0.19,,PAN,4,0.76,,PCP-PEV,51,9.75,,PCTP/MRPP,3,0.57,,,,,,PPD/PSD.CDS-PP.PPM,139,26.58,,,,,,PS,190,36.33,,,,,,R.I.R.,1,0.19,,VP,2,0.38,
21208,Panoias e Conceição,2024,,,,1,0,1,,,,462,325,70.35,2,0.62,6,1.85,,,ADN,3,0.92,,B.E.,5,1.54,,CH,53,16.31,,E,0,0,,IL,1,0.31,,,,,,L,5,1.54,,,,,,,,,,ND,0,0,,PAN,0,0,,PCP-PEV,48,14.77,,PCTP/MRPP,2,0.62,,,,,,PPD/PSD.CDS-PP.PPM,72,22.15,,,,,,PS,123,37.85,,,,,,R.I.R.,2,0.62,,VP,3,0.92,
21302,Brinches,2024,,,,1,0,1,,,,812,473,58.25,5,1.06,6,1.27,,,ADN,10,2.11,,B.E.,25,5.29,,CH,117,24.74,,E,0,0,,IL,1,0.21,,,,,,L,3,0.63,,,,,,,,,,ND,0,0,,PAN,3,0.63,,PCP-PEV,92,19.45,,PCTP/MRPP,2,0.42,,,,,,PPD/PSD.CDS-PP.PPM,63,13.32,,,,,,PS,146,30.87,,,,,,R.I.R.,0,0,,VP,0,0,
21303,Pias,2024,,,,1,0,1,,,,2147,1368,63.72,29,2.12,13,0.95,,,ADN,14,1.02,,B.E.,36,2.63,,CH,177,12.94,,E,5,0.37,,IL,16,1.17,,,,,,L,16,1.17,,,,,,,,,,ND,1,0.07,,PAN,8,0.58,,PCP-PEV,539,39.4,,PCTP/MRPP,12,0.88,,,,,,PPD/PSD.CDS-PP.PPM,115,8.41,,,,,,PS,380,27.78,,,,,,R.I.R.,4,0.29,,VP,3,0.22,
21307,Vila Verde de Ficalho,2024,,,,1,0,1,,,,1130,761,67.35,18,2.37,7,0.92,,,ADN,6,0.79,,B.E.,16,2.1,,CH,112,14.72,,E,0,0,,IL,7,0.92,,,,,,L,12,1.58,,,,,,,,,,ND,0,0,,PAN,6,0.79,,PCP-PEV,172,22.6,,PCTP/MRPP,4,0.53,,,,,,PPD/PSD.CDS-PP.PPM,107,14.06,,,,,,PS,291,38.24,,,,,,R.I.R.,1,0.13,,VP,2,0.26,
21308,Serpa (Salvador e Santa Maria),2024,,,,1,0,1,,,,5030,3191,63.44,46,1.44,38,1.19,,,ADN,39,1.22,,B.E.,111,3.48,,CH,685,21.47,,E,3,0.09,,IL,82,2.57,,,,,,L,71,2.23,,,,,,,,,,ND,2,0.06,,PAN,34,1.07,,PCP-PEV,440,13.79,,PCTP/MRPP,23,0.72,,,,,,PPD/PSD.CDS-PP.PPM,613,19.21,,,,,,PS,970,30.4,,,,,,R.I.R.,7,0.22,,VP,27,0.85,
21309,Vila Nova de São Bento e Vale de Vargo,2024,,,,1,0,1,,,,3160,1989,62.94,28,1.41,21,1.06,,,ADN,22,1.11,,B.E.,73,3.67,,CH,385,19.36,,E,3,0.15,,IL,23,1.16,,,,,,L,20,1.01,,,,,,,,,,ND,4,0.2,,PAN,20,1.01,,PCP-PEV,601,30.22,,PCTP/MRPP,30,1.51,,,,,,PPD/PSD.CDS-PP.PPM,234,11.76,,,,,,PS,519,26.09,,,,,,R.I.R.,1,0.05,,VP,5,0.25,
21401,Pedrógão,2024,,,,1,0,1,,,,819,494,60.32,5,1.01,5,1.01,,,ADN,4,0.81,,B.E.,21,4.25,,CH,95,19.23,,E,1,0.2,,IL,8,1.62,,,,,,L,5,1.01,,,,,,,,,,ND,0,0,,PAN,5,1.01,,PCP-PEV,136,27.53,,PCTP/MRPP,7,1.42,,,,,,PPD/PSD.CDS-PP.PPM,26,5.26,,,,,,PS,176,35.63,,,,,,R.I.R.,0,0,,VP,0,0,
21402,Selmes,2024,,,,1,0,1,,,,657,366,55.71,12,3.28,1,0.27,,,ADN,7,1.91,,B.E.,11,3.01,,CH,103,28.14,,E,2,0.55,,IL,4,1.09,,,,,,L,4,1.09,,,,,,,,,,ND,1,0.27,,PAN,9,2.46,,PCP-PEV,47,12.84,,PCTP/MRPP,1,0.27,,,,,,PPD/PSD.CDS-PP.PPM,25,6.83,,,,,,PS,136,37.16,,,,,,R.I.R.,0,0,,VP,3,0.82,
21403,Vidigueira,2024,,,,1,0,1,,,,2372,1543,65.05,25,1.62,21,1.36,,,ADN,10,0.65,,B.E.,66,4.28,,CH,385,24.95,,E,0,0,,IL,28,1.81,,,,,,L,29,1.88,,,,,,,,,,ND,0,0,,PAN,22,1.43,,PCP-PEV,172,11.15,,PCTP/MRPP,9,0.58,,,,,,PPD/PSD.CDS-PP.PPM,285,18.47,,,,,,PS,488,31.63,,,,,,R.I.R.,2,0.13,,VP,1,0.06,
21404,Vila de Frades,2024,,,,1,0,1,,,,729,487,66.8,12,2.46,9,1.85,,,ADN,5,1.03,,B.E.,18,3.7,,CH,95,19.51,,E,1,0.21,,IL,4,0.82,,,,,,L,6,1.23,,,,,,,,,,ND,1,0.21,,PAN,4,0.82,,PCP-PEV,73,14.99,,PCTP/MRPP,10,2.05,,,,,,PPD/PSD.CDS-PP.PPM,46,9.45,,,,,,PS,203,41.68,,,,,,R.I.R.,0,0,,VP,0,0,
30102,Barreiros,2024,,,,1,0,1,,,,689,497,72.13,11,2.21,5,1.01,,,ADN,17,3.42,,B.E.,13,2.62,,CH,86,17.3,,E,0,0,,IL,25,5.03,,JPP,1,0.2,,L,3,0.6,,MPT.A,1,0.2,,NC,1,0.2,,ND,5,1.01,,PAN,7,1.41,,PCP-PEV,4,0.8,,PCTP/MRPP,1,0.2,,,,,,PPD/PSD.CDS-PP.PPM,207,41.65,,,,,,PS,109,21.93,,,,,,R.I.R.,1,0.2,,VP,0,0,
30104,Bico,2024,,,,1,0,1,,,,739,549,74.29,7,1.28,6,1.09,,,ADN,2,0.36,,B.E.,28,5.1,,CH,159,28.96,,E,0,0,,IL,38,6.92,,JPP,0,0,,L,11,2,,MPT.A,1,0.18,,NC,1,0.18,,ND,3,0.55,,PAN,11,2,,PCP-PEV,6,1.09,,PCTP/MRPP,1,0.18,,,,,,PPD/PSD.CDS-PP.PPM,161,29.33,,,,,,PS,113,20.58,,,,,,R.I.R.,0,0,,VP,1,0.18,
30105,Caires,2024,,,,1,0,1,,,,823,604,73.39,13,2.15,7,1.16,,,ADN,14,2.32,,B.E.,5,0.83,,CH,128,21.19,,E,0,0,,IL,28,4.64,,JPP,1,0.17,,L,6,0.99,,MPT.A,0,0,,NC,1,0.17,,ND,2,0.33,,PAN,6,0.99,,PCP-PEV,8,1.32,,PCTP/MRPP,1,0.17,,,,,,PPD/PSD.CDS-PP.PPM,214,35.43,,,,,,PS,162,26.82,,,,,,R.I.R.,5,0.83,,VP,3,0.5,
30107,Carrazedo,2024,,,,1,0,1,,,,729,530,72.7,14,2.64,4,0.75,,,ADN,7,1.32,,B.E.,18,3.4,,CH,111,20.94,,E,1,0.19,,IL,28,5.28,,JPP,0,0,,L,7,1.32,,MPT.A,1,0.19,,NC,0,0,,ND,2,0.38,,PAN,5,0.94,,PCP-PEV,7,1.32,,PCTP/MRPP,1,0.19,,,,,,PPD/PSD.CDS-PP.PPM,206,38.87,,,,,,PS,117,22.08,,,,,,R.I.R.,1,0.19,,VP,0,0,
30108,Dornelas,2024,,,,1,0,1,,,,484,343,70.87,8,2.33,2,0.58,,,ADN,16,4.66,,B.E.,9,2.62,,CH,65,18.95,,E,1,0.29,,IL,23,6.71,,JPP,1,0.29,,L,3,0.87,,MPT.A,1,0.29,,NC,0,0,,ND,3,0.87,,PAN,3,0.87,,PCP-PEV,6,1.75,,PCTP/MRPP,0,0,,,,,,PPD/PSD.CDS-PP.PPM,139,40.52,,,,,,PS,63,18.37,,,,,,R.I.R.,0,0,,VP,0,0,
30111,Fiscal,2024,,,,1,0,1,,,,689,488,70.83,18,3.69,4,0.82,,,ADN,10,2.05,,B.E.,14,2.87,,CH,106,21.72,,E,0,0,,IL,21,4.3,,JPP,0,0,,L,8,1.64,,MPT.A,0,0,,NC,0,0,,ND,2,0.41,,PAN,7,1.43,,PCP-PEV,8,1.64,,PCTP/MRPP,2,0.41,,,,,,PPD/PSD.CDS-PP.PPM,172,35.25,,,,,,PS,115,23.57,,,,,,R.I.R.,0,0,,VP,1,0.2,
30112,Goães,2024,,,,1,0,1,,,,531,370,69.68,7,1.89,1,0.27,,,ADN,13,3.51,,B.E.,4,1.08,,CH,74,20,,E,0,0,,IL,16,4.32,,JPP,0,0,,L,2,0.54,,MPT.A,1,0.27,,NC,0,0,,ND,4,1.08,,PAN,5,1.35,,PCP-PEV,1,0.27,,PCTP/MRPP,2,0.54,,,,,,PPD/PSD.CDS-PP.PPM,175,47.3,,,,,,PS,61,16.49,,,,,,R.I.R.,4,1.08,,VP,0,0,
30113,Lago,2024,,,,1,0,1,,,,1794,1237,68.95,18,1.46,6,0.49,,,ADN,24,1.94,,B.E.,54,4.37,,CH,285,23.04,,E,1,0.08,,IL,75,6.06,,JPP,2,0.16,,L,28,2.26,,MPT.A,0,0,,NC,1,0.08,,ND,5,0.4,,PAN,9,0.73,,PCP-PEV,20,1.62,,PCTP/MRPP,4,0.32,,,,,,PPD/PSD.CDS-PP.PPM,339,27.41,,,,,,PS,360,29.1,,,,,,R.I.R.,6,0.49,,VP,0,0,
30118,Rendufe,2024,,,,1,0,1,,,,1036,746,72.01,10,1.34,3,0.4,,,ADN,11,1.47,,B.E.,18,2.41,,CH,165,22.12,,E,1,0.13,,IL,48,6.43,,JPP,1,0.13,,L,17,2.28,,MPT.A,0,0,,NC,1,0.13,,ND,6,0.8,,PAN,9,1.21,,PCP-PEV,5,0.67,,PCTP/MRPP,1,0.13,,,,,,PPD/PSD.CDS-PP.PPM,288,38.61,,,,,,PS,160,21.45,,,,,,R.I.R.,2,0.27,,VP,0,0,
30119,Bouro (Santa Maria),2024,,,,1,0,1,,,,676,466,68.93,7,1.5,7,1.5,,,ADN,11,2.36,,B.E.,4,0.86,,CH,98,21.03,,E,0,0,,IL,18,3.86,,JPP,0,0,,L,9,1.93,,MPT.A,0,0,,NC,0,0,,ND,0,0,,PAN,4,0.86,,PCP-PEV,3,0.64,,PCTP/MRPP,2,0.43,,,,,,PPD/PSD.CDS-PP.PPM,170,36.48,,,,,,PS,131,28.11,,,,,,R.I.R.,2,0.43,,VP,0,0,
30120,Bouro (Santa Marta),2024,,,,1,0,1,,,,453,302,66.67,5,1.66,1,0.33,,,ADN,10,3.31,,B.E.,3,0.99,,CH,42,13.91,,E,0,0,,IL,14,4.64,,JPP,0,0,,L,9,2.98,,MPT.A,0,0,,NC,0,0,,ND,2,0.66,,PAN,1,0.33,,PCP-PEV,2,0.66,,PCTP/MRPP,0,0,,,,,,PPD/PSD.CDS-PP.PPM,143,47.35,,,,,,PS,70,23.18,,,,,,R.I.R.,0,0,,VP,0,0,
30125,Amares e Figueiredo,2024,,,,1,0,1,,,,2652,1843,69.49,33,1.79,22,1.19,,,ADN,34,1.84,,B.E.,67,3.64,,CH,408,22.14,,E,0,0,,IL,119,6.46,,JPP,0,0,,L,51,2.77,,MPT.A,4,0.22,,NC,3,0.16,,ND,13,0.71,,PAN,20,1.09,,PCP-PEV,26,1.41,,PCTP/MRPP,7,0.38,,,,,,PPD/PSD.CDS-PP.PPM,531,28.81,,,,,,PS,493,26.75,,,,,,R.I.R.,10,0.54,,VP,2,0.11,
30126,Caldelas Sequeiros e Paranhos,2024,,,,1,0,1,,,,1074,726,67.6,16,2.2,7,0.96,,,ADN,13,1.79,,B.E.,19,2.62,,CH,84,11.57,,E,0,0,,IL,27,3.72,,JPP,0,0,,L,9,1.24,,MPT.A,2,0.28,,NC,0,0,,ND,3,0.41,,PAN,6,0.83,,PCP-PEV,4,0.55,,PCTP/MRPP,2,0.28,,,,,,PPD/PSD.CDS-PP.PPM,331,45.59,,,,,,PS,198,27.27,,,,,,R.I.R.,5,0.69,,VP,0,0,
30127,Ferreiros Prozelo e Besteiros,2024,,,,1,0,1,,,,4235,2915,68.83,59,2.02,35,1.2,,,ADN,47,1.61,,B.E.,83,2.85,,CH,695,23.84,,E,1,0.03,,IL,185,6.35,,JPP,3,0.1,,L,62,2.13,,MPT.A,1,0.03,,NC,1,0.03,,ND,19,0.65,,PAN,35,1.2,,PCP-PEV,36,1.23,,PCTP/MRPP,10,0.34,,,,,,PPD/PSD.CDS-PP.PPM,844,28.95,,,,,,PS,786,26.96,,,,,,R.I.R.,12,0.41,,VP,1,0.03,
30128,Torre e Portela,2024,,,,1,0,1,,,,553,383,69.26,3,0.78,7,1.83,,,ADN,7,1.83,,B.E.,9,2.35,,CH,81,21.15,,E,3,0.78,,IL,19,4.96,,JPP,0,0,,L,3,0.78,,MPT.A,0,0,,NC,0,0,,ND,4,1.04,,PAN,7,1.83,,PCP-PEV,1,0.26,,PCTP/MRPP,0,0,,,,,,PPD/PSD.CDS-PP.PPM,154,40.21,,,,,,PS,82,21.41,,,,,,R.I.R.,3,0.78,,VP,0,0,
30129,Vilela Seramil e Paredes Secas,2024,,,,1,0,1,,,,500,350,70,7,2,4,1.14,,,ADN,8,2.29,,B.E.,5,1.43,,CH,55,15.71,,E,0,0,,IL,13,3.71,,JPP,0,0,,L,6,1.71,,MPT.A,0,0,,NC,0,0,,ND,2,0.57,,PAN,3,0.86,,PCP-PEV,0,0,,PCTP/MRPP,1,0.29,,,,,,PPD/PSD.CDS-PP.PPM,190,54.29,,,,,,PS,53,15.14,,,,,,R.I.R.,2,0.57,,VP,1,0.29,
30201,Abade de Neiva,2024,,,,1,0,1,,,,1838,1427,77.64,41,2.87,20,1.4,,,ADN,29,2.03,,B.E.,50,3.5,,CH,255,17.87,,E,1,0.07,,IL,74,5.19,,JPP,3,0.21,,L,35,2.45,,MPT.A,1,0.07,,NC,0,0,,ND,5,0.35,,PAN,12,0.84,,PCP-PEV,14,0.98,,PCTP/MRPP,2,0.14,,,,,,PPD/PSD.CDS-PP.PPM,556,38.96,,,,,,PS,312,21.86,,,,,,R.I.R.,17,1.19,,VP,0,0,
30202,Aborim,2024,,,,1,0,1,,,,725,527,72.69,10,1.9,7,1.33,,,ADN,15,2.85,,B.E.,7,1.33,,CH,137,26,,E,0,0,,IL,24,4.55,,JPP,0,0,,L,10,1.9,,MPT.A,2,0.38,,NC,2,0.38,,ND,4,0.76,,PAN,4,0.76,,PCP-PEV,3,0.57,,PCTP/MRPP,1,0.19,,,,,,PPD/PSD.CDS-PP.PPM,162,30.74,,,,,,PS,135,25.62,,,,,,R.I.R.,4,0.76,,VP,0,0,
30203,Adães,2024,,,,1,0,1,,,,675,518,76.74,4,0.77,1,0.19,,,ADN,14,2.7,,B.E.,16,3.09,,CH,97,18.73,,E,1,0.19,,IL,29,5.6,,JPP,1,0.19,,L,11,2.12,,MPT.A,1,0.19,,NC,0,0,,ND,3,0.58,,PAN,4,0.77,,PCP-PEV,7,1.35,,PCTP/MRPP,4,0.77,,,,,,PPD/PSD.CDS-PP.PPM,177,34.17,,,,,,PS,143,27.61,,,,,,R.I.R.,1,0.19,,VP,4,0.77,
30205,Airó,2024,,,,1,0,1,,,,868,673,77.53,11,1.63,3,0.45,,,ADN,20,2.97,,B.E.,24,3.57,,CH,140,20.8,,E,0,0,,IL,23,3.42,,JPP,1,0.15,,L,12,1.78,,MPT.A,1,0.15,,NC,0,0,,ND,3,0.45,,PAN,4,0.59,,PCP-PEV,6,0.89,,PCTP/MRPP,2,0.3,,,,,,PPD/PSD.CDS-PP.PPM,266,39.52,,,,,,PS,155,23.03,,,,,,R.I.R.,2,0.3,,VP,0,0,
30206,Aldreu,2024,,,,1,0,1,,,,711,479,67.37,8,1.67,3,0.63,,,ADN,15,3.13,,B.E.,12,2.51,,CH,104,21.71,,E,0,0,,IL,27,5.64,,JPP,0,0,,L,6,1.25,,MPT.A,2,0.42,,NC,1,0.21,,ND,1,0.21,,PAN,2,0.42,,PCP-PEV,2,0.42,,PCTP/MRPP,0,0,,,,,,PPD/PSD.CDS-PP.PPM,159,33.19,,,,,,PS,136,28.39,,,,,,R.I.R.,1,0.21,,VP,0,0,
30208,Alvelos,2024,,,,1,0,1,,,,1858,1454,78.26,22,1.51,17,1.17,,,ADN,39,2.68,,B.E.,40,2.75,,CH,228,15.68,,E,0,0,,IL,47,3.23,,JPP,3,0.21,,L,26,1.79,,MPT.A,3,0.21,,NC,0,0,,ND,9,0.62,,PAN,18,1.24,,PCP-PEV,8,0.55,,PCTP/MRPP,2,0.14,,,,,,PPD/PSD.CDS-PP.PPM,575,39.55,,,,,,PS,410,28.2,,,,,,R.I.R.,6,0.41,,VP,1,0.07,
30209,Arcozelo,2024,,,,1,0,1,,,,11019,7806,70.84,149,1.91,84,1.08,,,ADN,117,1.5,,B.E.,478,6.12,,CH,1373,17.59,,E,7,0.09,,IL,534,6.84,,JPP,9,0.12,,L,243,3.11,,MPT.A,7,0.09,,NC,8,0.1,,ND,31,0.4,,PAN,149,1.91,,PCP-PEV,224,2.87,,PCTP/MRPP,30,0.38,,,,,,PPD/PSD.CDS-PP.PPM,1942,24.88,,,,,,PS,2384,30.54,,,,,,R.I.R.,26,0.33,,VP,11,0.14,
30210,Areias,2024,,,,1,0,1,,,,922,669,72.56,16,2.39,8,1.2,,,ADN,16,2.39,,B.E.,22,3.29,,CH,146,21.82,,E,1,0.15,,IL,28,4.19,,JPP,0,0,,L,10,1.49,,MPT.A,1,0.15,,NC,0,0,,ND,4,0.6,,PAN,16,2.39,,PCP-PEV,7,1.05,,PCTP/MRPP,1,0.15,,,,,,PPD/PSD.CDS-PP.PPM,255,38.12,,,,,,PS,134,20.03,,,,,,R.I.R.,4,0.6,,VP,0,0,
